piid,program,class,builder_group,scope_type,include,rationale,source
N0002411C2109,Columbia,Columbia,GDEB,design-engineering,N,Out-of-scope work type (design-engineering); excluded per the 2026-06-21 scope rule (hull-builder new construction only),nc_scope_summary.json
N0002413C2128,Columbia,Columbia,GDEB,design-engineering,N,"Columbia design-drawings package - design/engineering, not Basic Construction; removed per 2026-06-21 review follow-up (consistent with the Virginia lead-yard exclusion)",review 2026-06-21
N0002417C2117,Columbia,Columbia,GDEB,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002406C2303,DDG,DDG-51,GD-BIW,other-class,N,"DDG-1000 (Zumwalt) detail design & construction ($3.31B, PSC 1903; SAM program 'DDG 1000') - not DDG-51 new construction. Zero subawards in corpus, so no dollar impact; flipped from a mislabeled include=Y on 2026-06-23",SAM Contract Awards API (awardeeUniqueEntityId=FREEMCLKFXE3); review 2026-06-23
N0002411C2306,DDG,DDG-51,GD-BIW,other-class,N,"DDG-1000 (Zumwalt) COSAL warehousing ($2.55B, PSC 1903, SAM program 'DDG 1000') - not DDG-51 new construction. Zero subawards in corpus; flipped from a mislabeled include=Y on 2026-06-23",SAM Contract Awards API (awardeeUniqueEntityId=FREEMCLKFXE3); review 2026-06-23
N0002412C2312,DDG,DDG-51,HII-Ingalls,design-engineering,N,Flight III follow-yard design / test & trials support - not Basic Construction,govdelivery USDOD 2013-05-16; review 2026-06-21
N0002412C2313,DDG,DDG-51,GD-BIW,design-engineering,N,Out-of-scope work type (design-engineering); excluded per the 2026-06-21 scope rule (hull-builder new construction only),nc_scope_summary.json
N0002412C4311,DDG,DDG-51,GD-BIW,ship-alteration,N,Out-of-scope work type (ship-alteration); excluded per the 2026-06-21 scope rule (hull-builder new construction only),nc_scope_summary.json
N0002414C4313,DDG,DDG-51,GD-BIW,other-class,N,Littoral Combat Ship planning-yard / in-service support - not DDG-51 new construction,war.gov Contracts 2019-02-07; review 2026-06-21
N0002418C2313,DDG,DDG-51,GD-BIW,design-engineering,N,Out-of-scope work type (design-engineering); excluded per the 2026-06-21 scope rule (hull-builder new construction only),nc_scope_summary.json
N0002418C4451,DDG,DDG-51,GD-BIW,ship-alteration,N,Out-of-scope work type (ship-alteration); excluded per the 2026-06-21 scope rule (hull-builder new construction only),nc_scope_summary.json
N0002419C2322,DDG,DDG-51,GD-BIW,other-class,N,DDG-1000 class planning-yard / LMVLS work - not DDG-51 new construction,sam.gov DDG 1000 Class Planning Yard; review 2026-06-21
N0002419C4452,DDG,DDG-51,GD-BIW,provisioned-material/planning-yard,N,"Integrated planning-yard provisioned-item orders, maintenance & modernization - not Basic Construction",war.gov Contracts 2019-02-04; review 2026-06-21
N0002424C2313,DDG,DDG-51,GD-BIW,lead-yard-support,N,Out-of-scope work type (lead-yard-support); excluded per the 2026-06-21 scope rule (hull-builder new construction only),nc_scope_summary.json
N0002402C2303,DDG,DDG-51,GD-BIW,new-construction-admin,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002402C2304,DDG,DDG-51,HII-Ingalls,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002403C2306,DDG,DDG-51,GD-BIW,new-construction-admin,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002409C2302,DDG,DDG-51,GD-BIW,new-construction-admin,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002411C2305,DDG,DDG-51,GD-BIW,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002411C2307,DDG,DDG-51,HII-Ingalls,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002411C2309,DDG,DDG-51,HII-Ingalls,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002413C2305,DDG,DDG-51,GD-BIW,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002413C2307,DDG,DDG-51,HII-Ingalls,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002418C2305,DDG,DDG-51,GD-BIW,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002418C2307,DDG,DDG-51,HII-Ingalls,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002423C2305,DDG,DDG-51,GD-BIW,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002423C2307,DDG,DDG-51,HII-Ingalls,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002420C2120,Virginia,Virginia,GDEB,lead-yard-support,N,"Virginia Lead Yard Support & Design (added 2026-06-21) - lead-yard design/engineering agent work, not Basic Construction; removed per 2026-06-21 review decision",review 2026-06-21
N0002409C2104,Virginia,Virginia,GDEB,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002410C2118,Virginia,Virginia,GDEB,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002412C2115,Virginia,Virginia,GDEB,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002416C2111,Virginia,Virginia,GDEB,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002417C2100,Virginia,Virginia,GDEB,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
N0002424C2110,Virginia,Virginia,GDEB,new-construction,Y,"In-scope hull-builder new construction, incl. shipbuilder-procured non-nuclear long-lead / EOQ on the GDEB master / LLTM PIIDs",nc_scope_summary.json
